Name	Habitat	FunctionalGroup
BeagleChannel	pelagic	zooplankton
BeagleChannel	benthic	benthos
BeagleChannel	benthic	basal
BeagleChannel	benthic	fish
BeagleChannel	benthic	basal
BeagleChannel	benthic	benthos
BeagleChannel	benthopelagic	zooplankton
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthopelagic	zooplankton
BeagleChannel	benthic	fish
BeagleChannel	benthic	benthos
BeagleChannel	benthopelagic	zooplankton
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	fish
BeagleChannel	benthic	fish
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthopelagic	detritus
BeagleChannel	pelagic	zooplankton
BeagleChannel	benthic	benthos
BeagleChannel	benthic	basal
BeagleChannel	benthic	benthos
BeagleChannel	benthopelagic	detritus
BeagleChannel	benthopelagic	benthos
BeagleChannel	benthic	basal
BeagleChannel	pelagic	zooplankton
BeagleChannel	benthopelagic	fish
BeagleChannel	benthopelagic	zooplankton
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	fish
BeagleChannel	benthopelagic	zooplankton
BeagleChannel	benthic	fish
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthopelagic	zooplankton
BeagleChannel	pelagic	basal
BeagleChannel	pelagic	basal
BeagleChannel	benthic	fish
BeagleChannel	benthic	benthos
BeagleChannel	benthopelagic	fish
BeagleChannel	pelagic	zooplankton
BeagleChannel	benthic	fish
BeagleChannel	benthic	benthos
BeagleChannel	benthic	basal
BeagleChannel	pelagic	zooplankton
BeagleChannel	benthic	benthos
BeagleChannel	benthic	zooplankton
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthopelagic	zooplankton
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthopelagic	fish
BeagleChannel	benthic	benthos
BeagleChannel	benthic	fish
BeagleChannel	benthic	benthos
BeagleChannel	benthic	fish
BeagleChannel	benthic	zooplankton
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthopelagic	zooplankton
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	land_based	marine_mammal
BeagleChannel	benthic	benthos
BeagleChannel	benthic	basal
BeagleChannel	pelagic	fish
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthopelagic	fish
BeagleChannel	pelagic	zooplankton
BeagleChannel	benthopelagic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthopelagic	zooplankton
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	fish
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	basal
BeagleChannel	benthopelagic	zooplankton
BeagleChannel	pelagic	fish
BeagleChannel	pelagic	zooplankton
BeagleChannel	pelagic	zooplankton
BeagleChannel	pelagic	zooplankton
BeagleChannel	pelagic	fish
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthopelagic	zooplankton
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	pelagic	zooplankton
BeagleChannel	benthic	benthos
BeagleChannel	benthopelagic	fish
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	fish
BeagleChannel	benthic	fish
BeagleChannel	benthopelagic	fish
BeagleChannel	benthopelagic	fish
BeagleChannel	benthopelagic	fish
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	pelagic	basal
BeagleChannel	benthic	benthos
BeagleChannel	pelagic	zooplankton
BeagleChannel	benthopelagic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthopelagic	detritus
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	benthic	fish
BeagleChannel	benthic	fish
BeagleChannel	benthic	benthos
BeagleChannel	pelagic	zooplankton
BeagleChannel	benthic	fish
BeagleChannel	pelagic	zooplankton
BeagleChannel	benthic	fish
BeagleChannel	benthopelagic	zooplankton
BeagleChannel	benthic	basal
BeagleChannel	land_based	marine_mammal
BeagleChannel	benthic	benthos
BeagleChannel	benthic	detritus
BeagleChannel	pelagic	fish
BeagleChannel	benthopelagic	fish
BeagleChannel	pelagic	fish
BeagleChannel	benthic	benthos
BeagleChannel	benthic	benthos
BeagleChannel	pelagic	zooplankton
BeagleChannel	pelagic	zooplankton
BeagleChannel	pelagic	zooplankton
BeagleChannel	benthic	benthos
BeagleChannel	benthic	basal
BeagleChannel	benthic	benthos
BeagleChannel	benthopelagic	zooplankton
PotterCove	benthic	basal
PotterCove	benthic	benthos
PotterCove	benthic	benthos
PotterCove	benthic	basal
PotterCove	benthic	benthos
PotterCove	benthic	zooplankton
PotterCove	benthic	basal
PotterCove	benthic	benthos
PotterCove	benthic	zooplankton
PotterCove	benthic	basal
PotterCove	benthic	benthos
PotterCove	benthic	benthos
PotterCove	benthic	fish
PotterCove	benthic	benthos
PotterCove	benthic	zooplankton
PotterCove	benthic	benthos
PotterCove	benthopelagic	zooplankton
PotterCove	benthic	benthos
PotterCove	benthic	basal
PotterCove	benthic	benthos
PotterCove	benthic	benthos
PotterCove	benthic	basal
PotterCove	benthic	basal
PotterCove	benthic	basal
PotterCove	benthopelagic	detritus
PotterCove	benthic	detritus
PotterCove	pelagic	basal
PotterCove	benthic	benthos
PotterCove	benthic	benthos
PotterCove	benthic	benthos
PotterCove	benthic	basal
PotterCove	benthopelagic	benthos
PotterCove	pelagic	zooplankton
PotterCove	benthic	zooplankton
PotterCove	benthic	benthos
PotterCove	benthic	benthos
PotterCove	benthic	basal
PotterCove	benthic	basal
PotterCove	benthic	basal
PotterCove	benthic	zooplankton
PotterCove	benthic	benthos
PotterCove	benthic	zooplankton
PotterCove	benthic	fish
PotterCove	benthic	benthos
PotterCove	benthic	zooplankton
PotterCove	benthopelagic	benthos
PotterCove	pelagic	zooplankton
PotterCove	benthic	basal
PotterCove	benthic	benthos
PotterCove	benthic	basal
PotterCove	benthic	benthos
PotterCove	benthic	fish
PotterCove	benthic	benthos
PotterCove	benthic	benthos
PotterCove	benthic	benthos
PotterCove	benthic	basal
PotterCove	benthic	benthos
PotterCove	benthic	basal
PotterCove	benthic	benthos
